Component Name,File Path,Purpose,Usage Locations,Lines of Code,Dependencies,Duplication Level,Consolidation Priority,Performance Issues,Responsive Issues,Accessibility Issues,Recommended Action
LiveStreamingArea,/src/components/LiveStreamingArea.tsx,"Live streaming transcription display with animations, status indicators",Used in main transcription UI,380,GlassBox | StreamingTextRenderer | TranscriptionStatusIndicator,HIGH,HIGH,"Missing cleanup in useEffect, excessive re-renders","Poor mobile breakpoints, fixed sizing","Missing ARIA live regions",MERGE with EnhancedLiveStreamingArea
EnhancedLiveStreamingArea,/src/components/EnhancedLiveStreamingArea.tsx,"Enhanced streaming with persistence and immediate display",Used in demo and enhanced features,420,GlassBox | AccessibleStreamingText | useTranscriptionIntegration,HIGH,HIGH,"Memory leaks in event listeners, state accumulation","Mobile layout issues, touch interaction problems","Better accessibility but incomplete",MERGE with LiveStreamingArea
TranscriptDisplay,/src/components/TranscriptDisplay.tsx,Basic transcript display with scrolling,Standard transcription view,250,GlassBox | AutoScrollComponents,HIGH,HIGH,"No React.memo, re-renders on every update","Basic responsive design","Limited screen reader support",CONSOLIDATE into FlexibleTranscriptDisplay
AssistantTranscriptDisplay,/src/components/AssistantTranscriptDisplay.tsx,Enhanced transcript display for assistant window,Assistant window only,380,TranscriptDisplay | GlassBox | useTranscriptionState,HIGH,HIGH,"Performance issues with large transcripts","Good responsive design","Improved accessibility",CONSOLIDATE into FlexibleTranscriptDisplay
EnhancedTranscriptDisplay,/src/components/EnhancedTranscriptDisplay.tsx,Advanced transcript features with virtualization,Advanced transcription view,320,VirtualizedTranscript | TranscriptDisplay,HIGH,HIGH,"Complex state management","Responsive but complex","Accessibility partially implemented",CONSOLIDATE into FlexibleTranscriptDisplay
GlassBox,/src/components/GlassBox.tsx,"Main glass container with variant system (light/medium/heavy), CSS variables, React.memo optimized","Used in UnifiedLiveStreamingDisplay, TranscriptDisplay, AssistantTranscriptDisplay, EnhancedTranscriptDisplay, GlassButton, GlassInput, GlassMessage (12+ total)",82,ThemeProvider | cn utility,MEDIUM,HIGH,"React.memo optimized, CSS variables performant","Works on most screen sizes","Good semantic structure",STANDARDIZE as base component
GlassButton,/src/components/GlassButton.tsx,"Interactive button wrapping GlassBox, size variants (sm/md/lg), Electron app-region handling",Interactive elements and form controls,67,GlassBox | cn utility,MEDIUM,MEDIUM,"Good performance, proper button semantics","Size variants work responsively","Good focus management, Electron integration",INTEGRATE into unified glass system
GlassInput,/src/components/GlassInput.tsx,"Form input with GlassBox wrapper, icon support, error handling, React.forwardRef",Form elements and user input,102,GlassBox | cn utility,MEDIUM,MEDIUM,"React.memo and forwardRef optimized","Responsive with proper sizing","Excellent accessibility with labels/errors",INTEGRATE into unified glass system
GlassMessage,/src/components/GlassMessage.tsx,"Transcription message display with confidence indicators, animation support",VirtualizedTranscript message display,84,GlassBox | TranscriptionResult types | cn utility,MEDIUM,MEDIUM,"Lightweight with animation optimization","Responsive message layout","Good transcript accessibility",INTEGRATE into unified glass system
GlassCard,/src/components/GlassCard.tsx,"Card container with inline styles variant system (duplicates GlassBox functionality)","Minimal usage, content containers",65,cn utility only,HIGH,HIGH,"Inline styles less performant than CSS variables","Basic responsive design","Good semantic structure","MERGE with GlassBox - redundant implementation"
GlassOverlay,/src/components/ui/GlassOverlay.tsx,"Advanced overlay with patterns/animations using external liquid-glass-react library","Specialized overlay contexts",142,liquid-glass-react (external) | cn utility,MEDIUM,MEDIUM,"External dependency performance","Complex responsive features","Basic accessibility","EVALUATE external dependency necessity"
GlassEffectsProvider,/src/contexts/GlassEffectsProvider.tsx,"Global context for glass effects configuration, localStorage persistence, inter-window sync",App-wide glass effects management,164,React Context | localStorage | Electron IPC,LOW,LOW,"Context optimized with proper cleanup","Configuration not display-dependent","Context accessibility good",OPTIMIZE and document
StreamingTextRenderer,/src/components/StreamingTextRenderer.tsx,Text streaming with typewriter animation,Live text display,200,TypewriterText,MEDIUM,MEDIUM,"Animation performance issues","Works across devices","No accessibility features",MERGE with AccessibleStreamingText
